Trait,Abbreviation
Agronomic score - 1-5 scoring scale,AG SCORE 1-5
Anthesis time - Julian date (JD),ANTH JD
Bacterial leaf streak severity - 0-9 percentage scale,BLS 0-9
FHB disease index - %,FHB DI %
FHB DON content - ppm,DON ppm
FHB grain incidence - %,FDK %
FHB incidence - %,FHB INC %
FHB severity - %,FHB SEV %
Grain moisture content - %,GRAIN MST %
Grain number per spike - grain/spike,GN grain/spike
Grain protein content - %,PROTEIN %
Grain test weight - g/L,TW g/L
Grain weight - 1000 kernels - g/1000 grain,TKW g
Grain yield - g/plot,WGT g
Grain yield - kg/ha,YLD kg/ha
Heading time - day,HD DAP
Heading time - Julian date (JD),HD JD
Hessian fly damage - 1-9 response scale,HF 1-9
Leaf rust plant response - 0-9 Mc Neal scale,LR 0-9
Lodging incidence - %,LDG %
Lodging incidence - 0-9 percentage scale,LDG 0-9
Maturity time - physiological - Julian date (JD),MAT JD
Plant height - cm,HT cm
Plant stand - 0-9 density scale,STAND 0-9
Powdery mildew plant response - 0-10 response scale,PM 0-10
Stem rust severity - 0-9 percentage scale,SR 0-9
Stripe rust plant response - 0-9 Mc Neal scale,YR 0-9
Stripe rust severity - %,YR SEV %
Winter kill damage - %,WNTDM %
Winter survival - %,WNTSUR %
