germplasmName,trait_name,value,location,year,studyName,trait_abbrev,env_id
A1,Yield - kg/ha,5584,DVPWA,2024.0,AWY1_DVPWA_2024,YLD kg/ha,DVPWA_2024.0_AWY1_DVPWA_2024
A1,Yield - kg/ha,6079,2025,2025.0,TCAP_2025_MANKS,YLD kg/ha,2025_2025.0_TCAP_2025_MANKS
A1,Yield - kg/ha,6271,Big6,,25_Big6_SVREC_SVREC,YLD kg/ha,Big6_nan_25_Big6_SVREC_SVREC
A1,Yield - kg/ha,5734,2025,2025.0,OHRWW_2025_SPO,YLD kg/ha,2025_2025.0_OHRWW_2025_SPO
A1,Yield - kg/ha,5333,2025,2025.0,CornellMaster_2025_McGowan,YLD kg/ha,2025_2025.0_CornellMaster_2025_McGowan
A1,Yield - kg/ha,4799,AY2-3,,24Crk_AY2-3,YLD kg/ha,AY2-3_nan_24Crk_AY2-3
A1,Yield - kg/ha,4986,AYT,2025.0,2025_AYT_Aurora,YLD kg/ha,AYT_2025.0_2025_AYT_Aurora
A1,Yield - kg/ha,5207,Urb,,YT_Urb_25,YLD kg/ha,Urb_nan_YT_Urb_25
A1,Yield - kg/ha,5621,2025,2025.0,STP1_2025_MCG,YLD kg/ha,2025_2025.0_STP1_2025_MCG
A2,Yield - kg/ha,6067,DVPWA,2024.0,AWY1_DVPWA_2024,YLD kg/ha,DVPWA_2024.0_AWY1_DVPWA_2024
A2,Yield - kg/ha,6484,2025,2025.0,TCAP_2025_MANKS,YLD kg/ha,2025_2025.0_TCAP_2025_MANKS
A2,Yield - kg/ha,5235,Big6,,25_Big6_SVREC_SVREC,YLD kg/ha,Big6_nan_25_Big6_SVREC_SVREC
A2,Yield - kg/ha,4934,2025,2025.0,OHRWW_2025_SPO,YLD kg/ha,2025_2025.0_OHRWW_2025_SPO
A2,Yield - kg/ha,5792,2025,2025.0,CornellMaster_2025_McGowan,YLD kg/ha,2025_2025.0_CornellMaster_2025_McGowan
A2,Yield - kg/ha,5842,AY2-3,,24Crk_AY2-3,YLD kg/ha,AY2-3_nan_24Crk_AY2-3
A2,Yield - kg/ha,5735,AYT,2025.0,2025_AYT_Aurora,YLD kg/ha,AYT_2025.0_2025_AYT_Aurora
A2,Yield - kg/ha,5204,Urb,,YT_Urb_25,YLD kg/ha,Urb_nan_YT_Urb_25
A2,Yield - kg/ha,5928,2025,2025.0,STP1_2025_MCG,YLD kg/ha,2025_2025.0_STP1_2025_MCG
A3,Yield - kg/ha,4711,DVPWA,2024.0,AWY1_DVPWA_2024,YLD kg/ha,DVPWA_2024.0_AWY1_DVPWA_2024
A3,Yield - kg/ha,5709,2025,2025.0,TCAP_2025_MANKS,YLD kg/ha,2025_2025.0_TCAP_2025_MANKS
A3,Yield - kg/ha,5454,Big6,,25_Big6_SVREC_SVREC,YLD kg/ha,Big6_nan_25_Big6_SVREC_SVREC
A3,Yield - kg/ha,5815,2025,2025.0,OHRWW_2025_SPO,YLD kg/ha,2025_2025.0_OHRWW_2025_SPO
A3,Yield - kg/ha,5647,2025,2025.0,CornellMaster_2025_McGowan,YLD kg/ha,2025_2025.0_CornellMaster_2025_McGowan
A3,Yield - kg/ha,4933,AY2-3,,24Crk_AY2-3,YLD kg/ha,AY2-3_nan_24Crk_AY2-3
A3,Yield - kg/ha,5699,AYT,2025.0,2025_AYT_Aurora,YLD kg/ha,AYT_2025.0_2025_AYT_Aurora
A3,Yield - kg/ha,6172,Urb,,YT_Urb_25,YLD kg/ha,Urb_nan_YT_Urb_25
A3,Yield - kg/ha,5755,2025,2025.0,STP1_2025_MCG,YLD kg/ha,2025_2025.0_STP1_2025_MCG
A4,Yield - kg/ha,6161,DVPWA,2024.0,AWY1_DVPWA_2024,YLD kg/ha,DVPWA_2024.0_AWY1_DVPWA_2024
A4,Yield - kg/ha,4784,2025,2025.0,TCAP_2025_MANKS,YLD kg/ha,2025_2025.0_TCAP_2025_MANKS
A4,Yield - kg/ha,5288,Big6,,25_Big6_SVREC_SVREC,YLD kg/ha,Big6_nan_25_Big6_SVREC_SVREC
A4,Yield - kg/ha,5711,2025,2025.0,OHRWW_2025_SPO,YLD kg/ha,2025_2025.0_OHRWW_2025_SPO
A4,Yield - kg/ha,5186,2025,2025.0,CornellMaster_2025_McGowan,YLD kg/ha,2025_2025.0_CornellMaster_2025_McGowan
A4,Yield - kg/ha,4502,AY2-3,,24Crk_AY2-3,YLD kg/ha,AY2-3_nan_24Crk_AY2-3
A4,Yield - kg/ha,5017,AYT,2025.0,2025_AYT_Aurora,YLD kg/ha,AYT_2025.0_2025_AYT_Aurora
A4,Yield - kg/ha,5117,Urb,,YT_Urb_25,YLD kg/ha,Urb_nan_YT_Urb_25
A4,Yield - kg/ha,4934,2025,2025.0,STP1_2025_MCG,YLD kg/ha,2025_2025.0_STP1_2025_MCG
A5,Yield - kg/ha,4765,DVPWA,2024.0,AWY1_DVPWA_2024,YLD kg/ha,DVPWA_2024.0_AWY1_DVPWA_2024
A5,Yield - kg/ha,4867,2025,2025.0,TCAP_2025_MANKS,YLD kg/ha,2025_2025.0_TCAP_2025_MANKS
A5,Yield - kg/ha,5504,Big6,,25_Big6_SVREC_SVREC,YLD kg/ha,Big6_nan_25_Big6_SVREC_SVREC
A5,Yield - kg/ha,5406,2025,2025.0,OHRWW_2025_SPO,YLD kg/ha,2025_2025.0_OHRWW_2025_SPO
A5,Yield - kg/ha,6315,2025,2025.0,CornellMaster_2025_McGowan,YLD kg/ha,2025_2025.0_CornellMaster_2025_McGowan
A5,Yield - kg/ha,5827,AY2-3,,24Crk_AY2-3,YLD kg/ha,AY2-3_nan_24Crk_AY2-3
A5,Yield - kg/ha,5000,AYT,2025.0,2025_AYT_Aurora,YLD kg/ha,AYT_2025.0_2025_AYT_Aurora
A5,Yield - kg/ha,5808,Urb,,YT_Urb_25,YLD kg/ha,Urb_nan_YT_Urb_25
A5,Yield - kg/ha,5730,2025,2025.0,STP1_2025_MCG,YLD kg/ha,2025_2025.0_STP1_2025_MCG
A6,Yield - kg/ha,6339,DVPWA,2024.0,AWY1_DVPWA_2024,YLD kg/ha,DVPWA_2024.0_AWY1_DVPWA_2024
A6,Yield - kg/ha,5528,2025,2025.0,TCAP_2025_MANKS,YLD kg/ha,2025_2025.0_TCAP_2025_MANKS
A6,Yield - kg/ha,6354,Big6,,25_Big6_SVREC_SVREC,YLD kg/ha,Big6_nan_25_Big6_SVREC_SVREC
A6,Yield - kg/ha,5101,2025,2025.0,OHRWW_2025_SPO,YLD kg/ha,2025_2025.0_OHRWW_2025_SPO
A6,Yield - kg/ha,5612,2025,2025.0,CornellMaster_2025_McGowan,YLD kg/ha,2025_2025.0_CornellMaster_2025_McGowan
A6,Yield - kg/ha,6225,AY2-3,,24Crk_AY2-3,YLD kg/ha,AY2-3_nan_24Crk_AY2-3
A6,Yield - kg/ha,5633,AYT,2025.0,2025_AYT_Aurora,YLD kg/ha,AYT_2025.0_2025_AYT_Aurora
A6,Yield - kg/ha,5865,Urb,,YT_Urb_25,YLD kg/ha,Urb_nan_YT_Urb_25
A6,Yield - kg/ha,5791,2025,2025.0,STP1_2025_MCG,YLD kg/ha,2025_2025.0_STP1_2025_MCG
