studyName,germplasmName,value,traitName
2017_WestLafayette,SHIRLEY,6846.870929,Grain yield - kg/ha
2017_WestLafayette,IL07-19334,7303.518081,Grain yield - kg/ha
2017_WestLafayette,SHIRLEY,5997.39378,Grain yield - kg/ha
2018_WestLafayette,SHIRLEY,7147.650344,Grain yield - kg/ha
2018_WestLafayette,IL07-19334,5481.557902,Grain yield - kg/ha
2018_WestLafayette,SHIRLEY,5481.557902,Grain yield - kg/ha
2018_WestLafayette,IL07-19334,7177.942935,Grain yield - kg/ha
2022_AYT_Aurora,OVERLAND,5454.1,Grain yield - kg/ha
2022_AYT_Aurora,EXPEDITION,4674.0,Grain yield - kg/ha
2022_AYT_Dakota_Lakes,EXPEDITION,3012.8,Grain yield - kg/ha
2022_AYT_Dakota_Lakes,OVERLAND,3248.2,Grain yield - kg/ha
2022_AYT_Dakota_Lakes,OVERLAND,4189.7,Grain yield - kg/ha
2022_AYT_Dakota_Lakes,EXPEDITION,3900.6,Grain yield - kg/ha
2022_AYT_Winner,EXPEDITION,4727.8,Grain yield - kg/ha
2022_AYT_Winner,OVERLAND,4660.5,Grain yield - kg/ha
2022_AYT_Winner,OVERLAND,4734.5,Grain yield - kg/ha
2022_AYT_Winner,EXPEDITION,3920.7,Grain yield - kg/ha
2022_Elite_AURORA,OVERLAND,5528.0,Grain yield - kg/ha
2022_Elite_AURORA,EXPEDITION,4600.0,Grain yield - kg/ha
2022_Elite_AURORA,OVERLAND,5245.6,Grain yield - kg/ha
2022_Elite_AURORA,EXPEDITION,4458.7,Grain yield - kg/ha
2022_Elite_Dakota_Lakes,EXPEDITION,2844.7,Grain yield - kg/ha
2022_Elite_Dakota_Lakes,OVERLAND,3261.7,Grain yield - kg/ha
2022_Elite_Dakota_Lakes,OVERLAND,3705.5,Grain yield - kg/ha
2022_Elite_Dakota_Lakes,EXPEDITION,3349.1,Grain yield - kg/ha
2022_Elite_Dakota_Lakes,OVERLAND,4062.0,Grain yield - kg/ha
2022_Elite_Dakota_Lakes,EXPEDITION,3174.3,Grain yield - kg/ha
2022_Elite_Winner,EXPEDITION,4842.1,Grain yield - kg/ha
2022_Elite_Winner,OVERLAND,4869.0,Grain yield - kg/ha
2022_Elite_Winner,OVERLAND,4546.2,Grain yield - kg/ha
